;Unnamed: 0;Title;Artist;Year;0;has_lyrics;track_id;genre;language;instrumental;lyrics;sadness;joy;fear;disgust;anger;sentiment
24;24;Faded;SoulDecision Featuring Thrust;2000;74;1.0;1216561.0;Pop;English;0.0;"When I get you all alone
I'm gonna move in nice and close
Aint nobody gonna interrupt my game
Oh, no, no

Ever since youve been hanging around
Ive been trying to figure out
What I can say to you to get some play, yeah

Can we do, what we did last night again
Baby, you and Id be better friends
Dont you think its time we went a bit further?
Oh yeah, yeah

Every night when we say goodbye
I can't help looking in your eyes
Wondering why you and I havent hit it
Can we get it on?

Im kinda faded but I feel alright
Thinking about making my move tonight
I cant pretend that youre only my friend
When youre holdin' my body tight

Cause I like the way youre making your move
I like the way youre making me wait
At the end of the night when I make up your mind
Youll be coming on home with me, yeah, yeah, yeah

You know you got it
And you know I want it
I cant wait to take you home";0.523424;0.077287;0.432803;0.031182;0.222077;-0.570134
25;25;Lucky;Britney Spears;2000;58;1.0;30256604.0;Pop;English;0.0;"This is a story about a girl named Lucky

Early morning, she wakes up
Knock, knock, knock on the door
It's time for makeup, perfect smile
It's you they're all waiting for

They go
""Isn't she lovely, this Hollywood girl?""
And they say

She's so lucky, she's a star
But she cry-cry-cries in her lonely heart, thinking
If there's nothing missing in my life
Then why do these tears come at night?
";0.554269;0.435641;0.021986;0.003365;0.028688;-0.593978
26;26;I Think I'm In Love With You;Jessica Simpson;2000;197;1.0;17229027.0;Pop;English;0.0;"Yeah, yeah yeah yeah
Yeah yeah.
Yeah yeah Ohhhhh
Everytime you're near baby
I get kinda crazy in my head for you
I don't know what to do
And oh baby
I get kinda shaky when they mention you
I just lose my cool
My friends tell me
Somethin has come over me
And I think I know what it is
I think I'm in love

Boy I think that I'm in love with you
I've been doin silly things when it comes to you
In love, boy I think that I'm in love with you
I've been tellin all my friends what I feel for you
Just the other night baby, I saw you hangin
You were with your crew
I was with mine too
You took me by surprise
When you turn and look me in my eyes
Boy you really blow my mind
I don't know what's gotten into me
But, I think I know what it is
I think I'm in love

Boy I think that I'm in love with you
I've been doin silly things when it comes to you
In love, boy I think that I'm in love with you
I've been tellin all my friends what I feel for you

Boy I think that I'm in love with you
I've been doin silly things when it comes to you
In love, boy I think that I'm in love with you
I've been tellin all my friends what I feel for you

Somethin strange has come over me
Got me goin out of my mind
Never met a guy like you before
You make me feel special inside
I think I'm in love
Boy I think that I'm in love with you
I've been doin silly things when it comes to you
Boy I think I'm in love with you
I've been tellin all my friends what I feel for you
Boy I think that I'm in love with you
I've been doin silly things when it comes to you
Boy I think I'm in love with you
I've been tellin all my friends what I feel for you
Boy I think that I'm in love with you
I've been doin silly things when it comes to you
Boy I think I'm in love with you
I've been tellin all my friends what I feel for you
(repeat til fade)Everytime you're near baby
I get kinda crazy in my head for you
I don't know what to do
And oh baby
I get kinda shaky when they mention you
I just lose my cool
My friends tell me
Somethin has come over me
And I think I know what it is
I think I'm in love

Boy I think that I'm in love with you
I've been doin silly things when it comes to you
In love, boy I think that I'm in love with you
I've been tellin all my friends what I feel for you
Just the other night baby, I saw you hangin
You were with your crew
I was with mine too
You took me by surprise
When you turn and look me in my eyes
Boy you really blow my mind
I don't know what's gotten into me
But, I think I know what it is
I think I'm in love

Boy I think that I'm in love with you
I've been doin silly things when it comes to you
In love, boy I think that I'm in love with you
I've been tellin all my friends what I feel for you

Boy I think that I'm in love with you
I've been doin silly things when it comes to you
In love, boy I think that I'm in love with you
I've been tellin all my friends what I feel for you

Somethin strange has come over me
Got me goin out of my mind
Never met a guy like you before
You make me feel special inside
I think I'm in love
Boy I think that I'm in love with you
I've been doin silly things when it comes to you
Boy I think I'm in love with you
I've been tellin all my friends what I feel for you
Boy I think that I'm in love with you
I've been doin silly things when it comes to you
Boy I think I'm in love with you
I've been tellin all my friends what I feel for you
Boy I think that I'm in love with you
I've been doin silly things when it comes to you
Boy I think I'm in love with you
I've been tellin all my friends what I feel for you
(repeat til fade)And oh baby
I get kinda shaky when they mention you
I just lose my cool
My friends tell me
Somethin has come over me";0.427313;0.019269;0.368261;0.03459;0.500623;0.784367
27;27;Purest Of Pain (A Puro Dolor);Son By Four;2000;174;1.0;17908607.0;;;0.0;"I'm sorry I didn't meant to call you
But I couldn't fight it
I guess I was weak and couln't even hide it
And so I surrender just to hear your voice
Quisiera decirte que hoy estoy de maravilla
Que no me ha afectado lo de tu partida
Pero con un dedo no se tapa el sol
Que estoy muriendo

Muriedo por verte
Agonizando
Muy lento y muy fuerte
Vida
Devuelveme mis fantasías
Mis ganas de vivir la vida
Devuelveme el aire

Cariño mío
Sin ti yo me sieto vacío
Las tardes son un laberinto
Y las noches me saben...
A puro dolor...";;;;;;
28;28;You Sang To Me;Marc Anthony;2000;458;1.0;739631.0;Pop;English;0.0;"I just wanted you to comfort me
When I called you late last night you see
I was falling into love
Yes I was crashing into love
Of all the words you said to me
About life, the truth and being free
Yeah you sang to me
Oh how you sang to me

Girl, I live for how you make me feel
So I question all this being real
'Cause I'm not afraid to love
For the first time I'm not afraid of love
This day seems made for you and me
And you showed me what life needs to be
Yeah you sang to me
Oh you sang to me

All the while you were in front of me, I never realized
I just can't believe I didn't see it in your eyes
I didn't see it
I can't believe it
Oh but I feel it
When you sing to me

How I long to hear you sing beneath the clear blue skies
And I promise you this time I'll see it in your eyes";0.449824;0.493188;0.100065;0.010292;0.018366;0.787697
29;29;Breathe;Faith Hill;2000;467;1.0;18420167.0;Country;English;0.0;"I can feel the magic floating in the air
Being with you gets me that way
I watch the sunlight dance across your face
And I've never been this swept away
All my thoughts just seem to settle on the breeze
When I'm lying wrapped up in your arms
The whole world just fades away
The only thing I hear is the beating of your heart

Cause I can feel you breathe
It's washing over me
And suddenly I'm melting into you
There's nothing left to prove
Baby all we need is just to be";0.538382;0.089488;0.467357;0.138331;0.051411;-0.622252
30;30;That's The Way;Jo Dee Messina;2000;112;1.0;16669503.0;Country;English;0.0;"Everybody wants an easy ride,
On the merry-go-round that we call life.
Take a drive on cruise control,
Then you wait to find it's a winding road.
I had my dreams in view,
When the money ran out and the engine blew.
Hung my tears out to dry,
Then my dreams fell out of that clear blue sky.

And I, I was walkin' the clouds.
Feelin' so safe and sound.
Somethin' else knocks me down.

Well, oh, that's the way it is!
You gotta roll with the punches.
That's the way it goes!
You gotta bend when the wind blows.
You live you learn,
You crash and burn.
It's hit or miss. (That's the way)
And that's the way it is.

One fine day you wake up,";0.590752;0.54754;0.195378;0.041359;0.562379;0.292372
31;31;Just Be A Man About It;Toni Braxton;2000;42;1.0;34079640.0;R&B/Soul;English;0.0;"Hey, hey hold up a minute
Let me stop up here and use this pay phone real quick.
(Dialing/Ringing)
Hey, hey Toni it's me just callin' ya know
Just callin' to let you know
Dont wait up for me tonight.
I mean I just got a couple of things on my mind
I gotta think about you know
Just erm...
I'll be over at Brian's house
You know just for tonight.
I mean, I mean I dont think it's any different
But you know it's not you, it's me
You know, it's really me
You know.
Basically I just think I'ma need some space...

Why you callin' me on the phone?
Why you not at home on time?
You say you're stayin over your friends
'Cuz you've got alot on your mind.
Now you're swearin' up an down that it aint me
Still you say that things have changed.
So tell me what exactly does it mean
When you say you need your space.";0.47288;0.227425;0.133645;0.070034;0.147603;-0.354166
32;32;There You Go;P!nk;2000;472;1.0;14497112.0;Pop;English;0.0;"Please don't come around talkin' bout that you love me
'Cause that love shit just aint for me
I don't wanna hear that you adore me
And I know that all you're doing is running your mind games,
Don't you know that game beats game?
So your best bet is to be straight with me
So you say you wanna talk, let's talk
If you won't talk I'll walk, yeah it's like that
Got a new man, he's waiting out back
Now what, whatcha think bout that, bout that?
Now when I say I'm through, I'm through
Basically I'm through with you
Whatcha' wanna say?
Had to have it your way, had to play games
Now you're begging me to stay
There you go, lookin' pitiful
Just because I let you go
There you go, talkin' bout you want me back
Sometimes it's be's like that, so
There you go, talkin' bout you miss me so,
That you love me so, why I let you go?
There you go, 'cause your lies got old
Look at you, there you go!
Please don't come around talkin' bout how you changed
How you said goodbye to what's her name
All it sounds like to me is new game";0.6628;0.22205;0.134332;0.085427;0.241702;-0.600576
33;33;Give Me Just One Night (Una Noche);98 Degrees;2000;29;1.0;14094811.0;;English;0.0;"Your lips keep tellin' me you want me
Hold me close all through the night
And I know deep inside you need me
And no one else can make it right
Don't you try to hide your secrets
I can see it in your eyes
You said the words without speaking
Now I'm gonna make you mine

Give me just one night, una noche
A moment to be by your side
Give me just one night, una noche
I'll give you the time of your life
The time of your life
I'll give you the time of your life
Oh baby yeah

Your eyes of passion make me crazy
Your existence makes me wild
I want to loosen up your feelings
See what's hiding inside";0.207473;0.601559;0.144197;0.025124;0.119499;-0.868057
